Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,doner_id,donor_id
SRR3985831,OTHER,152,69653392,PRJNA299657,SAMN05462958,23948126,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987851,GSM2254910,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254910,Blast,SRP065190,SU353,
SRR3985832,OTHER,152,25485536,PRJNA299657,SAMN05462957,10696990,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987852,GSM2254911,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254911,Blast,SRP065190,SU353,
SRR3985833,OTHER,152,62810352,PRJNA299657,SAMN05462956,21125084,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987853,GSM2254912,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254912,Blast,SRP065190,SU353,
SRR3985834,OTHER,152,45683904,PRJNA299657,SAMN05462955,15152806,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987854,GSM2254913,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254913,Blast,SRP065190,SU353,
SRR3985835,OTHER,152,35232688,PRJNA299657,SAMN05462954,12598772,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987855,GSM2254914,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254914,Blast,SRP065190,SU353,
SRR3985836,OTHER,152,36729888,PRJNA299657,SAMN05462953,11544815,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987856,GSM2254915,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254915,Blast,SRP065190,SU353,
SRR3985837,OTHER,152,39678840,PRJNA299657,SAMN05462952,12161327,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987857,GSM2254916,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254916,Blast,SRP065190,SU353,
SRR3985838,OTHER,152,52288000,PRJNA299657,SAMN05462951,18369700,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987858,GSM2254917,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254917,Blast,SRP065190,SU353,
SRR3985839,OTHER,152,31620408,PRJNA299657,SAMN05462950,9892460,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987859,GSM2254918,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254918,Blast,SRP065190,SU353,
SRR3985840,OTHER,152,5872216,PRJNA299657,SAMN05462949,2544605,"acute myeloid leukemia\, blast cell",GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1987860,GSM2254919,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-08-22T00:00:00Z,GSM2254919,Blast,SRP065190,SU353,
